ORG_ID,TI_ID,UNIT_IDENTIFIER,UNIT_EQUIPMENT_QTY
141-SIGBN,W95537,WAPEAA,61
141-SIGBN,T07543,WAPEAA,86
15-PLS-TRKCO,T30377,WCNPAA,1
15-PLS-TRKCO,C32887,WCNPAA,1
15-PLS-TRKCO,W98825,WCNPAA,1
15-PLS-TRKCO,L28351,WCNPAA,1
15-PLS-TRKCO,T60149,WCNPAA,1
15-PLS-TRKCO,T63093,WCNPAA,2
15-PLS-TRKCO,T87243,WCNPAA,2
15-PLS-TRKCO,T60081,WCNPAA,2
15-PLS-TRKCO,Z36068,WCNPAA,2
15-PLS-TRKCO,T61494,WCNPAA,5
15-PLS-TRKCO,T40999,WCNPAA,48
15-PLS-TRKCO,T93761,WCNPAA,48
16-CSG,L28351,WC9GAA,1
16-CSG,X40931,WC9GAA,1
